image,method,ratio,speedup,sim_vs_baseline,sim_vs_gt,baseline_acc,time
000000248334.jpg,baseline,1.0,1.0,1.0,0.6555428504943848,0.6555428504943848,9.632672458013985
000000248334.jpg,attention,0.1,4.655074178731156,0.41188424825668335,0.2516261041164398,0.6555428504943848,2.0692844169971067
000000248334.jpg,attention,0.3,1.1096869689152224,0.5353626608848572,0.276473730802536,0.6555428504943848,8.680531292018713
000000248334.jpg,attention,0.5,1.083186086957735,0.6555196642875671,0.3624717593193054,0.6555428504943848,8.892906374996528
000000248334.jpg,attention,0.7,1.2020303071830185,0.4647902846336365,0.33441293239593506,0.6555428504943848,8.013668541010702
000000248334.jpg,similarity,0.1,3.364592507740701,0.7343411445617676,0.7602531909942627,0.6555428504943848,2.8629536670050584
000000248334.jpg,similarity,0.3,2.8394461129934356,0.8986058235168457,0.6378098130226135,0.6555428504943848,3.3924477079999633
000000248334.jpg,similarity,0.5,4.12025957624322,0.7338302135467529,0.7035525441169739,0.6555428504943848,2.3378799999773037
000000248334.jpg,similarity,0.7,1.6987933368064456,0.9321892261505127,0.6364924907684326,0.6555428504943848,5.67030270799296
000000248334.jpg,norm,0.1,4.680805078989622,0.5526896119117737,0.6359896659851074,0.6555428504943848,2.0579093330015894
000000248334.jpg,norm,0.3,2.037237663971631,0.9038854241371155,0.5910700559616089,0.6555428504943848,4.728300791000947
000000248334.jpg,norm,0.5,1.7886271500887108,0.9592714905738831,0.6578006744384766,0.6555428504943848,5.385511707980186
000000248334.jpg,norm,0.7,1.596365328114439,0.9430838823318481,0.5974649786949158,0.6555428504943848,6.034127833001548
000000511384.jpg,baseline,1.0,1.0,1.0,0.6257785558700562,0.6257785558700562,2.7890196249936707
000000511384.jpg,attention,0.1,1.3336847839683956,0.31774574518203735,0.3234815001487732,0.6257785558700562,2.091213500010781
000000511384.jpg,attention,0.3,1.3575105237799294,0.42740437388420105,0.46537309885025024,0.6257785558700562,2.0545105000201147
000000511384.jpg,attention,0.5,0.4106840782677374,0.575160801410675,0.5647479891777039,0.6257785558700562,6.791155958024319
000000511384.jpg,attention,0.7,0.3401092884534483,0.463939368724823,0.43029043078422546,0.6257785558700562,8.200363000010839
000000511384.jpg,similarity,0.1,2.0325838794916047,0.7537906765937805,0.6787493824958801,0.6257785558700562,1.3721547499881126
000000511384.jpg,similarity,0.3,3.4420449718490023,0.7234077453613281,0.6700670719146729,0.6257785558700562,0.810279833007371
000000511384.jpg,similarity,0.5,3.224527848293545,0.6432323455810547,0.6936546564102173,0.6257785558700562,0.8649389170168433
000000511384.jpg,similarity,0.7,3.049093170370305,0.7234077453613281,0.6700670719146729,0.6257785558700562,0.914704625000013
000000511384.jpg,norm,0.1,1.7763443105370287,0.3956696093082428,0.17943130433559418,0.6257785558700562,1.5700895420159213
000000511384.jpg,norm,0.3,1.2243607778033743,0.794581413269043,0.610988199710846,0.6257785558700562,2.277939375024289
000000511384.jpg,norm,0.5,2.2357562974169634,0.7234077453613281,0.6700670719146729,0.6257785558700562,1.247461375023704
000000511384.jpg,norm,0.7,2.1830276916848126,0.7234077453613281,0.6700670719146729,0.6257785558700562,1.2775924169982318
